Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Habanero Mango IPA,American IPA,20.82,1.075,1.017,7.56,81.78,24.06,28.39,60,70,All Grain
Ipa,American IPA,88.96,1.066,1.02,6.08,48.39,8.03,94.64,60,70,All Grain
Hop dog- citra,American IPA,22.71,1.058,1.011,6.43,85.54,7.31,26.5,90,70,All Grain
Fall IPA,American IPA,45.42,1.066,1.007,7.81,64,4.82,54.89,90,75,All Grain
Union jack,American IPA,22.71,1.072,1.017,7.13,73.85,6.11,39.37,90,75,BIAB
Elder Brother IPA,American IPA,21,1.07,1.018,6.86,234.59,8.33,28.5,60,70,BIAB
Citra IPA,American IPA,40,1.062,1.012,6.53,45.43,10.15,50,60,70,All Grain
Juicy IPA - Mosaic/Citra/Cascade,American IPA,20.82,1.064,1.016,6.31,40.14,4.12,28.39,60,75,BIAB
IPA Test 1,American IPA,20.82,1.087,1.024,8.26,108.96,15.41,28.39,60,80,All Grain
Citra SMaSH IPA,American IPA,9.46,1.084,1.021,8.27,324.22,4.38,9.46,60,70,All Grain
NEPAL (New England Pale Ale),American IPA,28,1.052,1.009,5.68,49.37,5.86,32,60,66,All Grain
Biere avec cafe,American IPA,20.82,1.071,1.017,7.11,148.51,8.53,28.39,60,75,All Grain
Nectar of the Gods,American IPA,20.82,1.077,1.019,7.53,0,11.94,26.5,90,65,All Grain
Cobbler Aussie IPA - Nelly Melba,American IPA,23,1.059,1.012,6.27,67.56,8.92,30.3,60,70,BIAB
